tanggal,id_komoditas,nama_komoditas,id_harga_pangan,nama_pasar,harga
2024-02-28,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,81000.0
2024-02-29,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,81000.0
2024-03-01,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,81000.0
2024-03-02,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,81000.0
2024-03-03,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,81000.0
2024-03-04,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,81000.0
2024-03-05,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,81000.0
2024-03-06,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,81000.0
2024-03-07,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,81000.0
2024-03-08,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,81000.0
2024-03-09,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,81000.0
2024-03-10,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,81000.0
2024-03-11,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,81000.0
2024-03-12,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,81000.0
2024-03-13,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,64000.0
